名次,战队,KDA,场均击杀,场均死亡,每分钟伤害,一血率,场均时长,场均经济,每分钟经济,每分钟补刀,场均小龙,小龙控制率,场均大龙,大龙控制率,每分钟插眼,每分钟排眼,排眼效率,场均推塔数,场均被推塔数,year,Season
15, Newbee（原）, 1.4, 8.0, 19.0, 0, 0.0%, 32:33, 46394, 1424, 25.81, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2015, 2015LPL夏季赛
1, TPA, 3.4, 12.8, 13.5, 1969, 57.1%, 38:9, 59537, 1560, 26.61, 2.0, 47.1%, 0.5, 36.6%, 3.33, 0.97, 29.7%, 6.2, 6.6, 2015, 2015LMS港澳台区夏季赛
2, AHQ, 5.5, 19.5, 12.1, 2095, 58.1%, 36:52, 65859, 1786, 28.65, 2.7, 66.4%, 1.1, 76.7%, 3.02, 1.11, 34.1%, 8.9, 3.5, 2015, 2015LMS港澳台区夏季赛
3, LGS, 2.1, 11.2, 18.5, 1751, 46.4%, 36:11, 55337, 1529, 26.99, 1.4, 34.5%, 0.3, 27.3%, 2.99, 0.87, 27.6%, 4.6, 7.8, 2015, 2015LMS港澳台区夏季赛
4, MSE, 3.3, 14.5, 15.7, 1865, 50.0%, 38:55, 62205, 1598, 27.23, 2.1, 46.2%, 0.6, 42.6%, 3.29, 1.01, 31.2%, 5.8, 7.2, 2015, 2015LMS港澳台区夏季赛
5, HKA, 4.0, 16.6, 14.5, 2098, 48.7%, 38:49, 65743, 1693, 27.78, 2.7, 61.4%, 1.0, 63.5%, 3.60, 1.06, 32.4%, 7.1, 5.5, 2015, 2015LMS港澳台区夏季赛
6, FW, 5.0, 16.2, 11.2, 1851, 62.5%, 39:24, 65247, 1655, 27.20, 2.8, 59.2%, 0.9, 52.7%, 3.17, 1.12, 32.3%, 7.8, 5.4, 2015, 2015LMS港澳台区夏季赛
7, AS, 2.5, 11.1, 15.2, 1791, 32.1%, 37:59, 57398, 1510, 26.46, 1.6, 34.9%, 0.5, 30.4%, 3.14, 1.04, 30.6%, 4.2, 8.4, 2015, 2015LMS港澳台区夏季赛
1, SKT, 5.6, 16.7, 9.5, 2083, 61.4%, 35:50, 63350, 1767, 29.79, 2.8, 71.8%, 1.1, 83.1%, 3.29, 1.20, 35.1%, 8.3, 3.3, 2015, 2015LCK韩国夏季赛
2, KDM, 3.7, 12.9, 11.9, 1743, 56.5%, 39:46, 64356, 1618, 28.61, 2.3, 52.8%, 0.9, 62.7%, 3.45, 1.18, 33.9%, 6.3, 5.9, 2015, 2015LCK韩国夏季赛
3, CJE, 3.7, 13.4, 12.8, 2050, 55.1%, 38:36, 63109, 1634, 28.57, 2.3, 53.0%, 0.7, 48.6%, 3.23, 1.19, 34.0%, 6.5, 5.9, 2015, 2015LCK韩国夏季赛
4, KT, 4.5, 13.1, 10.2, 1742, 69.2%, 38:38, 63148, 1633, 29.00, 2.3, 53.4%, 0.7, 45.5%, 3.67, 1.22, 35.0%, 6.8, 5.9, 2015, 2015LCK韩国夏季赛
5, IMiracle, 2.7, 11.3, 14.4, 1800, 45.5%, 39:25, 61134, 1550, 27.81, 2.2, 50.5%, 0.6, 40.0%, 3.64, 1.27, 36.8%, 5.0, 7.3, 2015, 2015LCK韩国夏季赛
6, JAG, 4.8, 12.1, 9.3, 1673, 57.1%, 41:18, 66253, 1603, 28.47, 2.4, 49.3%, 0.9, 55.7%, 3.45, 1.08, 30.9%, 6.7, 6.3, 2015, 2015LCK韩国夏季赛
7, HLE, 4.6, 13.7, 11.0, 1906, 50.9%, 38:11, 63062, 1651, 28.31, 2.2, 53.9%, 0.8, 54.9%, 3.60, 1.12, 32.1%, 6.8, 5.3, 2015, 2015LCK韩国夏季赛
8, GEN, 2.8, 11.1, 13.7, 1753, 34.9%, 38:55, 62311, 1600, 29.26, 2.2, 50.3%, 0.6, 41.5%, 3.57, 1.27, 36.8%, 5.8, 7.0, 2015, 2015LCK韩国夏季赛
9, SBE, 1.9, 8.5, 15.4, 1683, 18.6%, 38:40, 57427, 1484, 27.95, 1.7, 39.2%, 0.3, 20.7%, 3.51, 1.13, 32.1%, 3.7, 8.2, 2015, 2015LCK韩国夏季赛
1, IMiracle, 15.9, 23.5, 4.8, 2498, 75.0%, 30:26, 59987, 1970, 30.90, 3.5, 93.3%, 1.0, 100.0%, 3.11, 1.07, 37.0%, 9.0, 1.0, 2015, 2015LCK夏季资格赛
2, GEN, 7.0, 16.0, 8.5, 1840, 25.0%, 38:42, 67645, 1747, 29.28, 3.0, 63.2%, 1.8, 100.0%, 4.31, 1.22, 38.0%, 8.8, 2.8, 2015, 2015LCK夏季资格赛
3, WIN, 2.0, 13.2, 21.0, 2175, 60.0%, 35:10, 54901, 1560, 26.96, 2.0, 47.6%, 0.2, 16.7%, 3.67, 0.88, 29.8%, 3.8, 8.2, 2015, 2015LCK夏季资格赛
4, SBE, 3.8, 12.0, 11.2, 1664, 60.0%, 43:41, 66255, 1516, 27.89, 3.4, 63.0%, 0.2, 14.3%, 3.68, 1.22, 34.0%, 4.8, 7.2, 2015, 2015LCK夏季资格赛
5, Xenics Storm, 2.0, 10.4, 18.0, 1684, 60.0%, 45:47, 69482, 1517, 28.15, 1.6, 28.6%, 0.6, 37.5%, 3.36, 1.56, 37.3%, 5.2, 7.6, 2015, 2015LCK夏季资格赛
1, FNC, 3.1, 16.1, 16.0, 2049, 60.0%, 34:42, 56627, 1631, 27.01, 1.5, 35.7%, 0.8, 50.0%, 3.49, 0.82, 26.6%, 5.4, 6.2, 2015, 2015MSI季中邀请赛
2, SKT, 3.3, 15.9, 15.9, 2116, 33.3%, 35:39, 59691, 1673, 27.75, 2.7, 62.5%, 0.9, 58.3%, 3.27, 1.06, 30.9%, 6.5, 4.6, 2015, 2015MSI季中邀请赛
3, EDG, 6.5, 22.8, 12.3, 2282, 76.9%, 33:8, 59614, 1799, 26.27, 2.5, 65.3%, 0.9, 70.6%, 3.29, 1.13, 36.7%, 7.7, 3.4, 2015, 2015MSI季中邀请赛
4, AHQ, 3.4, 17.5, 18.0, 2094, 62.5%, 34:41, 58302, 1680, 27.04, 1.9, 46.9%, 0.5, 40.0%, 3.07, 1.09, 33.3%, 5.9, 6.1, 2015, 2015MSI季中邀请赛
5, BJK, 0.6, 5.4, 22.0, 1415, 20.0%, 27:35, 36938, 1339, 24.43, 0.8, 25.0%, 0.0, 0.0%, 2.83, 0.62, 21.7%, 0.8, 10.0, 2015, 2015MSI季中邀请赛
1, FSN, 2.2, 9.4, 15.2, 1587, 20.0%, 38:54, 58289, 1498, 26.28, 1.8, 40.9%, 0.4, 28.6%, 3.35, 1.10, 37.4%, 5.8, 6.6, 2015, 2015LCS北美夏季资格赛
2, WFX, 2.9, 9.0, 10.5, 1605, 100.0%, 34:21, 53207, 1548, 28.78, 2.2, 56.2%, 0.5, 50.0%, 2.82, 1.11, 32.3%, 3.8, 7.8, 2015, 2015LCS北美夏季资格赛
3, TDK, 4.2, 10.5, 9.0, 1897, 0.0%, 34:21, 55425, 1613, 27.82, 1.8, 43.8%, 0.5, 50.0%, 3.44, 0.98, 34.8%, 7.8, 3.8, 2015, 2015LCS北美夏季资格赛
1, GIA, 3.5, 16.2, 14.0, 2212, 25.0%, 33:53, 60573, 1787, 30.49, 2.0, 50.0%, 1.0, 66.7%, 2.49, 0.94, 35.4%, 7.2, 5.2, 2015, 2015LCS欧洲夏季资格赛
2, ROC, 13.2, 17.0, 4.0, 1844, 100.0%, 31:24, 54399, 1732, 26.43, 2.3, 70.0%, 1.0, 100.0%, 2.53, 0.66, 28.3%, 9.0, 3.7, 2015, 2015LCS欧洲夏季资格赛
3, Reason Gaming, 2.6, 14.0, 16.8, 1868, 75.0%, 33:53, 53697, 1584, 26.19, 2.0, 50.0%, 0.5, 33.3%, 2.67, 0.58, 23.1%, 5.2, 7.2, 2015, 2015LCS欧洲夏季资格赛
1, RYL, 2.9, 12.8, 14.2, 0, 0.0%, 33:17, 0, 0, 28.10, 1.5, 42.9%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 6.8, 5.5, 2015, 2015LPL夏季资格赛
2, Gamtee, 7.0, 18.3, 9.4, 0, 0.0%, 31:43, 0, 0, 27.70, 2.7, 70.4%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 8.1, 3.6, 2015, 2015LPL夏季资格赛
3, M3, 7.0, 18.0, 8.2, 0, 0.0%, 35:18, 0, 0, 28.91, 2.3, 60.9%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 8.7, 2.5, 2015, 2015LPL夏季资格赛
4, KX, 1.1, 6.3, 18.7, 0, 0.0%, 32:3, 0, 0, 26.03, 1.0, 25.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 2.0, 7.7, 2015, 2015LPL夏季资格赛
5, EP, 3.4, 13.1, 13.5, 0, 0.0%, 35:17, 0, 0, 26.25, 2.5, 57.1%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 5.6, 6.6, 2015, 2015LPL夏季资格赛
6, SDG, 1.3, 7.0, 16.7, 0, 0.0%, 35:6, 0, 0, 28.25, 1.7, 50.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 2.7, 10.3, 2015, 2015LPL夏季资格赛
7, AD Gaming, 2.8, 11.2, 14.8, 0, 0.0%, 33:19, 0, 0, 30.36, 2.0, 41.7%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 4.8, 7.2, 2015, 2015LPL夏季资格赛
1, NME, 5.5, 18.4, 10.9, 2148, 50.0%, 37:7, 65365, 1760, 27.28, 2.5, 55.6%, 0.9, 70.0%, 2.75, 0.81, 31.6%, 9.4, 4.1, 2015, 2015CS北美挑战者春季赛
2, FSN, 4.5, 14.7, 10.9, 1737, 66.7%, 34:52, 59379, 1702, 27.27, 2.5, 58.7%, 1.0, 75.0%, 2.91, 0.83, 31.5%, 8.2, 5.1, 2015, 2015CS北美挑战者春季赛
3, F5, 2.4, 11.4, 16.7, 1773, 35.7%, 38:15, 58610, 1531, 25.78, 2.0, 41.8%, 0.4, 29.4%, 2.79, 0.87, 30.3%, 5.2, 8.0, 2015, 2015CS北美挑战者春季赛
4, TDK, 3.7, 15.4, 14.2, 2070, 52.9%, 37:17, 61356, 1645, 26.92, 3.0, 65.4%, 0.5, 40.0%, 2.91, 1.03, 35.5%, 6.5, 6.5, 2015, 2015CS北美挑战者春季赛
5, TSD, 2.7, 14.0, 17.6, 1762, 45.5%, 36:51, 56895, 1543, 25.00, 1.8, 39.2%, 0.5, 55.6%, 2.30, 0.74, 28.9%, 4.9, 8.4, 2015, 2015CS北美挑战者春季赛
1, MS, 2.1, 11.0, 16.7, 1899, 20.0%, 39:5, 58395, 1493, 26.12, 1.4, 33.3%, 0.4, 28.6%, 2.36, 0.82, 33.6%, 3.3, 8.4, 2015, 2015CS欧洲挑战者春季赛
2, Reason Gaming, 3.3, 15.2, 15.1, 1832, 31.2%, 37:58, 61295, 1613, 26.76, 2.4, 50.6%, 0.4, 28.6%, 2.74, 0.79, 33.1%, 6.2, 7.2, 2015, 2015CS欧洲挑战者春季赛
3, CWA, 2.5, 15.5, 18.6, 1841, 53.3%, 32:57, 56423, 1711, 27.32, 2.3, 53.8%, 1.0, 71.4%, 2.11, 0.73, 29.1%, 7.5, 6.5, 2015, 2015CS欧洲挑战者春季赛
4, Origen, 6.7, 19.1, 9.6, 2230, 75.0%, 34:48, 63015, 1810, 28.09, 2.8, 66.2%, 1.0, 88.9%, 2.69, 1.05, 38.7%, 8.9, 4.1, 2015, 2015CS欧洲挑战者春季赛
5, DEU, 2.6, 14.4, 17.8, 1986, 50.0%, 36:53, 58345, 1581, 25.98, 1.8, 43.9%, 0.3, 20.0%, 2.52, 0.77, 30.7%, 4.6, 7.0, 2015, 2015CS欧洲挑战者春季赛
1, CLG, 3.6, 13.0, 12.8, 1674, 72.7%, 36:45, 60806, 1654, 27.00, 2.5, 56.7%, 0.6, 50.0%, 2.76, 1.07, 37.7%, 7.9, 6.0, 2015, 2015LCS北美春季赛
2, CST, 1.9, 8.2, 15.1, 1356, 50.0%, 36:30, 52912, 1449, 25.99, 1.7, 41.3%, 0.3, 20.0%, 2.63, 0.85, 32.1%, 3.8, 9.2, 2015, 2015LCS北美春季赛
3, C9, 4.0, 11.4, 10.7, 1686, 53.6%, 36:42, 61061, 1663, 27.94, 2.1, 48.8%, 1.0, 71.8%, 2.74, 1.06, 37.7%, 7.6, 5.8, 2015, 2015LCS北美春季赛
4, T8, 2.9, 13.7, 15.6, 1769, 47.4%, 39:7, 62535, 1598, 26.28, 2.0, 44.2%, 0.6, 48.0%, 2.97, 1.08, 39.0%, 6.7, 6.7, 2015, 2015LCS北美春季赛
5, GV, 3.4, 12.7, 13.6, 1724, 45.5%, 38:20, 62229, 1623, 27.34, 2.7, 59.6%, 0.7, 53.3%, 2.85, 0.88, 32.5%, 6.7, 7.5, 2015, 2015LCS北美春季赛
6, WFX, 3.3, 13.2, 14.6, 1629, 44.4%, 37:38, 59071, 1569, 25.94, 1.9, 42.5%, 0.4, 34.8%, 2.84, 0.93, 33.4%, 5.9, 7.4, 2015, 2015LCS北美春季赛
7, P1, 3.7, 13.6, 12.6, 1877, 38.7%, 35:53, 59904, 1669, 28.54, 2.3, 53.8%, 0.6, 47.4%, 2.79, 0.86, 31.8%, 6.7, 5.9, 2015, 2015LCS北美春季赛
8, TL, 4.0, 14.0, 12.4, 1806, 46.9%, 38:30, 62734, 1628, 27.42, 2.3, 51.4%, 0.8, 53.1%, 2.77, 0.94, 35.0%, 6.7, 6.2, 2015, 2015LCS北美春季赛
9, TSM, 5.4, 15.2, 10.0, 1883, 61.5%, 36:59, 63748, 1723, 28.17, 2.4, 55.4%, 1.0, 64.1%, 2.68, 0.97, 33.4%, 8.1, 5.1, 2015, 2015LCS北美春季赛
1, SK, 3.9, 14.9, 13.0, 2001, 46.4%, 37:40, 64316, 1707, 28.13, 3.2, 71.1%, 1.2, 70.2%, 2.59, 0.98, 34.6%, 7.4, 5.7, 2015, 2015LCS欧洲春季赛
2, GMB, 3.5, 15.6, 14.6, 1889, 50.0%, 40:43, 66130, 1623, 26.83, 2.4, 46.8%, 0.9, 57.6%, 3.07, 1.01, 34.9%, 7.0, 7.0, 2015, 2015LCS欧洲春季赛
3, FNC, 5.1, 18.2, 12.1, 2014, 57.1%, 36:3, 62981, 1746, 26.63, 2.2, 53.0%, 1.2, 77.3%, 3.20, 0.82, 30.0%, 8.0, 5.5, 2015, 2015LCS欧洲春季赛
4, GIA, 1.9, 11.0, 17.9, 1698, 47.4%, 37:57, 58126, 1531, 26.87, 1.9, 40.9%, 0.4, 29.6%, 2.70, 0.89, 32.8%, 5.6, 7.9, 2015, 2015LCS欧洲春季赛
5, CW, 2.8, 14.3, 18.1, 1943, 52.4%, 42:34, 66300, 1557, 26.32, 2.5, 45.6%, 0.4, 28.1%, 2.71, 0.92, 31.9%, 5.3, 8.7, 2015, 2015LCS欧洲春季赛
6, MYM, 2.7, 11.3, 14.5, 1640, 31.6%, 40:0, 61389, 1534, 27.72, 1.6, 33.0%, 0.5, 50.0%, 2.53, 1.00, 35.2%, 4.5, 7.9, 2015, 2015LCS欧洲春季赛
7, ROC, 3.1, 12.2, 13.4, 1727, 50.0%, 40:55, 63604, 1553, 26.08, 2.3, 44.6%, 0.6, 34.4%, 2.96, 0.89, 31.7%, 5.9, 7.7, 2015, 2015LCS欧洲春季赛
8, H2K, 4.3, 14.1, 11.5, 1981, 48.4%, 36:6, 59171, 1638, 26.33, 2.4, 55.1%, 0.6, 47.5%, 2.74, 0.85, 30.4%, 7.9, 5.1, 2015, 2015LCS欧洲春季赛
9, UOL, 3.0, 15.0, 17.1, 2102, 53.1%, 36:53, 59792, 1620, 25.60, 2.3, 51.8%, 0.5, 40.5%, 2.87, 0.83, 28.6%, 7.5, 6.5, 2015, 2015LCS欧洲春季赛
1, C9T, 14.3, 17.2, 4.5, 1758, 75.0%, 40:9, 69333, 1726, 27.31, 3.5, 73.7%, 0.8, 100.0%, 2.89, 1.11, 41.4%, 9.2, 3.5, 2015, 2015CS北美挑战者春季预选赛
2, ZEN, 0.8, 8.0, 29.5, 1673, 100.0%, 28:37, 40660, 1420, 23.92, 0.0, 0.0%, 0.0, 0.0%, 2.31, 0.63, 28.6%, 3.0, 8.0, 2015, 2015CS北美挑战者春季预选赛
3, NME, 9.7, 22.8, 7.2, 2121, 25.0%, 29:26, 55155, 1873, 26.11, 2.5, 76.9%, 0.5, 100.0%, 2.17, 0.71, 31.1%, 9.0, 2.0, 2015, 2015CS北美挑战者春季预选赛
4, OO, 2.2, 12.0, 21.5, 1713, 0.0%, 36:26, 52618, 1443, 23.46, 1.0, 20.0%, 0.0, 0.0%, 2.72, 1.14, 34.3%, 4.0, 12.5, 2015, 2015CS北美挑战者春季预选赛
5, TDK, 8.1, 20.8, 8.5, 2023, 50.0%, 34:32, 64267, 1860, 28.79, 3.8, 88.2%, 1.0, 100.0%, 3.08, 0.98, 43.5%, 10.8, 2.8, 2015, 2015CS北美挑战者春季预选赛
6, TLA, 2.7, 15.2, 17.5, 1883, 75.0%, 35:47, 56775, 1586, 23.82, 3.2, 68.4%, 0.8, 60.0%, 3.26, 1.08, 40.3%, 8.0, 6.5, 2015, 2015CS北美挑战者春季预选赛
7, CON, 4.2, 18.8, 15.8, 1815, 60.0%, 44:37, 71827, 1609, 25.96, 2.2, 39.3%, 1.0, 71.4%, 2.34, 1.09, 40.8%, 6.6, 7.2, 2015, 2015CS北美挑战者春季预选赛
8, RBG, 2.3, 15.0, 21.0, 1942, 50.0%, 37:59, 56407, 1484, 25.12, 2.5, 71.4%, 0.0, 0.0%, 3.00, 0.79, 38.7%, 3.5, 9.0, 2015, 2015CS北美挑战者春季预选赛
9, STR, 4.8, 19.5, 14.0, 1930, 25.0%, 34:25, 57259, 1663, 25.04, 2.2, 50.0%, 0.5, 40.0%, 2.27, 0.90, 31.1%, 6.0, 8.8, 2015, 2015CS北美挑战者春季预选赛
10, BWL, 3.1, 11.7, 14.0, 1985, 33.3%, 40:47, 63456, 1555, 22.94, 1.7, 62.5%, 0.3, 33.3%, 2.81, 0.69, 29.8%, 4.7, 4.7, 2015, 2015CS北美挑战者春季预选赛
11, DRK, 2.1, 10.4, 15.2, 1664, 40.0%, 36:27, 56202, 1541, 26.67, 0.8, 25.0%, 0.4, 40.0%, 2.21, 0.91, 36.0%, 3.4, 7.0, 2015, 2015CS北美挑战者春季预选赛
12, AFN, 2.0, 15.0, 27.3, 2203, 0.0%, 43:33, 63704, 1462, 22.69, 2.7, 50.0%, 0.0, 0.0%, 2.40, 0.77, 37.0%, 5.7, 8.3, 2015, 2015CS北美挑战者春季预选赛
13, RR, 0.7, 3.0, 17.5, 1276, 50.0%, 34:6, 46418, 1361, 26.85, 1.0, 28.6%, 0.0, 0.0%, 2.67, 0.76, 28.4%, 3.0, 9.0, 2015, 2015CS北美挑战者春季预选赛
14, FB, 0.9, 7.5, 22.0, 1340, 50.0%, 28:51, 40001, 1386, 24.54, 0.0, 0.0%, 0.0, 0.0%, 2.13, 0.73, 26.4%, 1.5, 7.0, 2015, 2015CS北美挑战者春季预选赛
15, ARB, 1.0, 9.5, 25.5, 1970, 100.0%, 26:45, 37569, 1404, 22.61, 1.0, 40.0%, 0.0, 0.0%, 2.54, 0.58, 26.3%, 2.5, 7.5, 2015, 2015CS北美挑战者春季预选赛
1, SKP, 5.9, 22.2, 12.2, 2020, 60.0%, 35:59, 64910, 1803, 26.31, 3.0, 75.0%, 0.8, 66.7%, 2.31, 0.81, 39.9%, 9.0, 2.6, 2015, 2015CS欧洲挑战者春季预选赛
2, G2d, 3.5, 17.0, 16.2, 2036, 0.0%, 36:25, 61815, 1697, 27.36, 1.8, 39.1%, 0.6, 50.0%, 2.33, 1.04, 40.6%, 6.6, 6.4, 2015, 2015CS欧洲挑战者春季预选赛
3, TE, 1.7, 14.5, 28.0, 1840, 50.0%, 33:17, 49735, 1493, 26.03, 1.5, 37.5%, 0.0, 0.0%, 2.67, 0.80, 34.6%, 2.0, 11.0, 2015, 2015CS欧洲挑战者春季预选赛
4, DD, 3.8, 12.8, 12.0, 1711, 0.0%, 31:32, 50573, 1603, 26.84, 2.2, 60.0%, 0.5, 40.0%, 2.43, 0.72, 31.1%, 4.8, 4.5, 2015, 2015CS欧洲挑战者春季预选赛
5, CWA, 6.1, 23.8, 12.2, 1962, 75.0%, 32:20, 62926, 1945, 27.21, 2.8, 73.3%, 1.2, 100.0%, 2.20, 0.70, 27.1%, 9.8, 2.0, 2015, 2015CS欧洲挑战者春季预选赛
6, Origen, 4.1, 7.4, 6.0, 2010, 20.0%, 36:26, 61507, 1688, 29.36, 1.4, 58.3%, 0.6, 75.0%, 2.76, 0.64, 26.9%, 4.0, 3.2, 2015, 2015CS欧洲挑战者春季预选赛
7, RFS, 1.7, 12.0, 21.5, 1567, 100.0%, 36:1, 51201, 1421, 24.78, 2.0, 44.4%, 0.0, 0.0%, 2.65, 0.76, 36.2%, 2.0, 9.5, 2015, 2015CS欧洲挑战者春季预选赛
8, TBS, 3.5, 16.6, 14.8, 1737, 60.0%, 34:11, 57367, 1677, 26.72, 2.2, 57.9%, 0.8, 80.0%, 2.18, 0.85, 34.3%, 6.2, 5.2, 2015, 2015CS欧洲挑战者春季预选赛
9, MSP, 3.8, 12.5, 10.8, 1625, 50.0%, 36:40, 57254, 1560, 26.04, 2.2, 52.0%, 0.3, 25.0%, 2.22, 0.69, 28.9%, 6.7, 5.2, 2015, 2015CS欧洲挑战者春季预选赛
10, NVO, 5.3, 18.6, 11.0, 1926, 80.0%, 32:18, 58233, 1802, 26.75, 3.0, 75.0%, 1.0, 83.3%, 2.61, 0.78, 33.7%, 8.8, 3.8, 2015, 2015CS欧洲挑战者春季预选赛
11, FNA, 0.8, 4.0, 15.5, 1284, 100.0%, 31:41, 41906, 1322, 26.24, 0.0, 0.0%, 0.0, 0.0%, 2.54, 0.82, 34.0%, 0.5, 7.5, 2015, 2015CS欧洲挑战者春季预选赛
12, AT, 1.3, 12.0, 24.5, 1532, 0.0%, 34:42, 49019, 1412, 25.27, 0.0, 0.0%, 0.0, 0.0%, 1.96, 0.61, 31.3%, 1.0, 10.5, 2015, 2015CS欧洲挑战者春季预选赛
13, RGN, 1.0, 6.0, 18.0, 1601, 50.0%, 25:44, 34526, 1341, 24.56, 0.5, 16.7%, 0.0, 0.0%, 2.00, 0.62, 22.2%, 2.5, 8.0, 2015, 2015CS欧洲挑战者春季预选赛
14, RCK, 1.8, 9.3, 15.0, 1244, 66.7%, 36:55, 53032, 1436, 24.81, 1.7, 38.5%, 1.0, 75.0%, 2.21, 0.53, 24.7%, 3.7, 8.0, 2015, 2015CS欧洲挑战者春季预选赛
1, OMG, 3.7, 17.8, 16.3, 0, 0.0%, 35:9, 59734, 1698, 26.48, 0.3, 65.0%, 0.0, 33.3%, 0.00, 0.00, 0.0%, 0.5, 1.0, 2015, 2015LPL春季赛
2, RYL, 2.8, 13.7, 17.2, 0, 0.0%, 35:52, 55681, 1552, 25.87, 0.1, 31.2%, 0.0, 25.0%, 0.00, 0.00, 0.0%, 0.7, 0.4, 2015, 2015LPL春季赛
3, EDG, 5.9, 19.7, 11.5, 0, 0.0%, 33:46, 60773, 1799, 26.99, 0.2, 63.6%, 0.1, 83.3%, 0.00, 0.00, 0.0%, 0.5, 0.8, 2015, 2015LPL春季赛
4, IG, 3.6, 15.3, 14.9, 0, 0.0%, 37:38, 62641, 1663, 27.70, 0.2, 52.9%, 0.0, 33.3%, 0.00, 0.00, 0.0%, 0.4, 0.5, 2015, 2015LPL春季赛
5, LGD, 3.8, 18.7, 16.5, 0, 0.0%, 36:46, 62955, 1711, 27.36, 0.1, 42.9%, 0.1, 75.0%, 0.00, 0.00, 0.0%, 0.3, 0.2, 2015, 2015LPL春季赛
6, SS, 3.7, 15.4, 15.3, 0, 0.0%, 36:49, 61368, 1666, 27.06, 0.1, 75.0%, 0.0, 100.0%, 0.00, 0.00, 0.0%, 0.2, 0.5, 2015, 2015LPL春季赛
7, Gamtee, 2.8, 13.9, 17.5, 0, 0.0%, 38:20, 60522, 1576, 25.15, 0.2, 40.0%, 0.1, 57.1%, 0.00, 0.00, 0.0%, 0.7, 0.5, 2015, 2015LPL春季赛
8, KNG, 3.2, 15.7, 17.0, 0, 0.0%, 36:51, 59841, 1623, 26.67, 0.0, 25.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.4, 0.0, 2015, 2015LPL春季赛
9, M3, 2.9, 15.1, 17.4, 0, 0.0%, 36:17, 57626, 1587, 26.45, 0.1, 83.3%, 0.0, 100.0%, 0.00, 0.00, 0.0%, 0.1, 0.3, 2015, 2015LPL春季赛
10, VG, 4.4, 18.2, 14.1, 0, 0.0%, 36:23, 62261, 1710, 27.12, 0.4, 57.1%, 0.1, 40.0%, 0.00, 0.00, 0.0%, 1.3, 0.9, 2015, 2015LPL春季赛
11, EP, 2.1, 10.9, 17.9, 0, 0.0%, 34:43, 51912, 1495, 25.30, 0.2, 33.3%, 0.1, 60.0%, 0.00, 0.00, 0.0%, 0.5, 0.5, 2015, 2015LPL春季赛
1, TPA, 4.9, 12.7, 9.2, 1955, 34.8%, 38:47, 66148, 1705, 27.73, 1.7, 54.9%, 0.5, 70.6%, 3.14, 1.08, 34.5%, 5.0, 3.1, 2015, 2015LMS港澳台春季联赛
2, AHQ, 5.5, 18.3, 11.7, 2208, 53.3%, 38:14, 67010, 1752, 26.95, 2.4, 66.4%, 0.4, 52.0%, 3.00, 1.18, 38.3%, 6.2, 3.3, 2015, 2015LMS港澳台春季联赛
3, DOR, 1.0, 5.5, 16.4, 1496, 30.0%, 29:9, 40313, 1382, 24.20, 0.3, 14.6%, 0.0, 0.0%, 2.69, 0.85, 32.4%, 1.1, 6.0, 2015, 2015LMS港澳台春季联赛
4, LGS, 2.9, 12.2, 14.4, 1876, 35.0%, 35:48, 57751, 1612, 25.39, 1.6, 49.3%, 0.3, 38.9%, 2.71, 0.96, 33.7%, 4.0, 5.5, 2015, 2015LMS港澳台春季联赛
5, NGU, 1.6, 8.7, 16.5, 1693, 19.0%, 30:47, 46639, 1514, 26.15, 0.7, 25.9%, 0.2, 30.8%, 2.62, 0.99, 36.7%, 2.4, 6.1, 2015, 2015LMS港澳台春季联赛
6, MSE, 2.6, 9.4, 12.3, 1799, 14.3%, 33:21, 53236, 1595, 25.06, 1.0, 38.9%, 0.2, 36.4%, 2.79, 0.91, 33.3%, 3.2, 4.1, 2015, 2015LMS港澳台春季联赛
7, HKA, 4.5, 15.5, 12.1, 2039, 37.5%, 37:39, 66144, 1756, 27.30, 1.8, 53.8%, 0.6, 70.0%, 3.33, 0.98, 32.6%, 5.0, 3.9, 2015, 2015LMS港澳台春季联赛
1, SKT, 4.8, 15.6, 11.1, 1951, 47.5%, 38:11, 65919, 1726, 29.71, 3.1, 65.8%, 0.8, 57.9%, 3.28, 1.24, 37.5%, 7.5, 4.5, 2015, 2015LCK韩国春季赛
2, KDM, 3.2, 13.2, 14.2, 1716, 51.5%, 40:27, 64755, 1600, 27.83, 2.2, 45.7%, 0.6, 38.9%, 3.14, 1.14, 36.1%, 6.3, 6.9, 2015, 2015LCK韩国春季赛
3, CJE, 4.3, 14.2, 11.6, 2005, 52.5%, 39:28, 65397, 1656, 28.03, 2.8, 57.9%, 0.8, 54.4%, 2.90, 1.25, 37.1%, 7.8, 5.3, 2015, 2015LCK韩国春季赛
4, KT, 3.1, 10.7, 12.2, 1527, 36.4%, 38:44, 61328, 1583, 28.65, 2.1, 44.7%, 0.6, 53.8%, 3.49, 1.28, 40.0%, 5.7, 6.4, 2015, 2015LCK韩国春季赛
